Time,N0,Temperature,Aw,pH,Category,Name,Organism,Predict
240.0,4.0,12.5,0.9,4.5,Culture medium,Broth,Aeromonas hydrophila,-2.084211
240.0,4.0,12.5,0.91,4.5,Culture medium,Broth,Aeromonas hydrophila,-1.7307291
240.0,4.0,12.5,0.92,4.5,Culture medium,Broth,Aeromonas hydrophila,-1.7245556
240.0,4.0,12.5,0.93,4.5,Culture medium,Broth,Aeromonas hydrophila,-1.9279484
240.0,4.0,12.5,0.94,4.5,Culture medium,Broth,Aeromonas hydrophila,-1.6313874
240.0,4.0,12.5,0.95,4.5,Culture medium,Broth,Aeromonas hydrophila,-1.3194773
240.0,4.0,12.5,0.96,4.5,Culture medium,Broth,Aeromonas hydrophila,-0.9926033
240.0,4.0,12.5,0.97,4.5,Culture medium,Broth,Aeromonas hydrophila,-1.0195217
240.0,4.0,12.5,0.98,4.5,Culture medium,Broth,Aeromonas hydrophila,-0.78108627
240.0,4.0,12.5,0.99,4.5,Culture medium,Broth,Aeromonas hydrophila,0.17660235
240.0,4.0,15.0,0.9,4.5,Culture medium,Broth,Aeromonas hydrophila,-2.2373219
240.0,4.0,15.0,0.91,4.5,Culture medium,Broth,Aeromonas hydrophila,-1.7764323
